Cancer_Type,Lump,Cough,Chest Pain,Shortness of Breath,Weight Loss,Fatigue,Changes in Bowel Habits,Changes in Urination,Skin Changes,Jaundice,Skin Lesions,Infections,Bruising/Bleeding,Swollen Lymph Nodes,Blood in Urine,Pain,Fever,Headache,Nausea,Vomiting
Breast Cancer,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lung Cancer,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorectal Cancer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Prostate Cancer,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ovarian Cancer,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Pancreatic Cancer,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Skin Cancer (Melanoma),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Leukemia,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Brain Tumor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Bladder Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Liver Cancer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Kidney Cancer,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Cervical Cancer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Esophageal Cancer,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gastric Cancer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Thyroid Cancer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Prostate Cancer,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Liver Cancer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Bone Cancer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ovarian Cancer,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Pancreatic Cancer,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Gallbladder Cancer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stomach Cancer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Hepatocellular Carcinoma,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Melanoma,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Thyroid Cancer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Non-Hodgkin Lymphoma,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Oral Cancer,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Osteosarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Endometrial Cancer,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Thymoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Soft Tissue Sarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lymphoma,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Glioblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mesothelioma,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multiple Myeloma,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thyroid Cancer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uterine Cancer,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Renal Cell Carcinoma,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Nasopharyngeal Cancer,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Small Cell Lung Cancer,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostate Cancer,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid Cancer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chronic Lymphocytic Leukemia,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Merkel Cell Carcinoma,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Neuroblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wilms Tumor,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Chronic Myeloid Leukemia,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Ewing Sarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Retinoblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Testicular Cancer,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkitt Lymphoma,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Ovarian Cancer,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
